job_id,title,company,location,job_type,salary,url,source,scraped_at,_id,description
s02_1,,,,,,,s02,2025-04-10T03:04:42.800000,67f7354a2c8fa07dd445e9e2,
s01_2,,,,,,,s01,2025-04-10T03:04:42.818000,67f7354a2c8fa07dd445e9e3,
s01_3,,,,,,,s01,2025-04-10T03:04:42.819000,67f7354a2c8fa07dd445e9e4,
s01_4,,,,,,,s01,2025-04-10T03:04:42.820000,67f7354a2c8fa07dd445e9e5,
s01_5,,,,,,,s01,2025-04-10T03:04:42.820000,67f7354a2c8fa07dd445e9e6,
s01_6,,,,,,,s01,2025-04-10T03:04:42.821000,67f7354a2c8fa07dd445e9e7,
s01_7,,,,,,,s01,2025-04-10T03:04:42.821000,67f7354a2c8fa07dd445e9e8,
s01_8,,,,,,,s01,2025-04-10T03:04:42.821000,67f7354a2c8fa07dd445e9e9,
s01_9,,,,,,,s01,2025-04-10T03:04:42.822000,67f7354a2c8fa07dd445e9ea,
s01_10,,,,,,,s01,2025-04-10T03:04:42.822000,67f7354a2c8fa07dd445e9eb,
s01_11,,,,,,,s01,2025-04-10T03:04:42.823000,67f7354a2c8fa07dd445e9ec,
s01_12,,,,,,,s01,2025-04-10T03:04:42.823000,67f7354a2c8fa07dd445e9ed,
s01_13,,,,,,,s01,2025-04-10T03:04:42.823000,67f7354a2c8fa07dd445e9ee,
s01_14,,,,,,,s01,2025-04-10T03:04:42.824000,67f7354a2c8fa07dd445e9ef,
s01_15,,,,,,,s01,2025-04-10T03:04:42.824000,67f7354a2c8fa07dd445e9f0,
s01_16,,,,,,,s01,2025-04-10T03:04:42.825000,67f7354a2c8fa07dd445e9f1,
s01_17,,,,,,,s01,2025-04-10T03:04:42.825000,67f7354a2c8fa07dd445e9f2,
s01_18,,,,,,,s01,2025-04-10T03:04:42.825000,67f7354a2c8fa07dd445e9f3,
s02_19,,,,,,,s02,2025-04-10T03:04:42.826000,67f7354a2c8fa07dd445e9f4,
s02_20,,,,,,,s02,2025-04-10T03:04:42.826000,67f7354a2c8fa07dd445e9f5,
s02_21,,,,,,,s02,2025-04-10T03:04:42.826000,67f7354a2c8fa07dd445e9f6,
s02_22,,,,,,,s02,2025-04-10T03:04:42.827000,67f7354a2c8fa07dd445e9f7,
s02_23,,,,,,,s02,2025-04-10T03:04:42.827000,67f7354a2c8fa07dd445e9f8,
s02_24,,,,,,,s02,2025-04-10T03:04:42.827000,67f7354a2c8fa07dd445e9f9,
s02_25,,,,,,,s02,2025-04-10T03:04:42.828000,67f7354a2c8fa07dd445e9fa,
s02_26,,,,,,,s02,2025-04-10T03:04:42.828000,67f7354a2c8fa07dd445e9fb,
s02_27,,,,,,,s02,2025-04-10T03:04:42.829000,67f7354a2c8fa07dd445e9fc,
s02_28,,,,,,,s02,2025-04-10T03:04:42.829000,67f7354a2c8fa07dd445e9fd,
s02_29,,,,,,,s02,2025-04-10T03:04:42.830000,67f7354a2c8fa07dd445e9fe,
s02_30,,,,,,,s02,2025-04-10T03:04:42.830000,67f7354a2c8fa07dd445e9ff,
s02_31,,,,,,,s02,2025-04-10T03:04:42.830000,67f7354a2c8fa07dd445ea00,
s02_32,,,,,,,s02,2025-04-10T03:04:42.831000,67f7354a2c8fa07dd445ea01,
s02_33,,,,,,,s02,2025-04-10T03:04:42.831000,67f7354a2c8fa07dd445ea02,
